raw_degrees_north,raw_theta_degrees_east,Route,lat,long
40.11674507,179.0193224,Northern Sea Route,40.11674507,0.980677569
57.13397867,182.7778781,Northern Sea Route,57.13397867,-2.777878117
66.22252479,156.7256933,Northern Sea Route,66.22252479,23.27430673
76.74589209,114.5490204,Northern Sea Route,76.74589209,65.45097958
85.72080711,81.42467906,Northern Sea Route,85.72080711,98.57532094
76.7941226,57.25984235,Northern Sea Route,76.7941226,122.7401577
72.31866271,33.42779468,Northern Sea Route,72.31866271,146.5722053
63.00993272,14.69884655,Northern Sea Route,63.00993272,165.3011534
51.71086454,4.582531252,Northern Sea Route,51.71086454,175.4174687
40.71843208,0.52675819,Northern Sea Route,40.71843208,179.4732418
34.44338162,190.5430441,Ice Free Route,34.44338162,-10.54304414
42.85440396,191.3106712,Ice Free Route,42.85440396,-11.31067119
48.82682957,191.6997059,Ice Free Route,48.82682957,-11.69970592
53.3480742,191.3818148,Ice Free Route,53.3480742,-11.38181485
63.45796515,186.3873735,Ice Free Route,63.45796515,-6.387373503
81.47910461,168.2804253,Ice Free Route,81.47910461,11.71957467
91.43827011,140.0283284,Ice Free Route,91.43827011,39.97167161
89.82566882,35.17750787,Ice Free Route,89.82566882,144.8224921
77.43703938,357.4281822,Ice Free Route,77.43703938,-177.4281822
68.51242111,352.176549,Ice Free Route,68.51242111,-172.176549
60.73540075,347.0837199,Ice Free Route,60.73540075,-167.0837199
